word,type,lang,count
"#Pakistansgenocide

",MONEY,en,5
4,CARDINAL,en,1055
a PM/Psy Op,TIME,en,32
Mujibur Rehman’s,PERSON,en,64
Six Points,ORG,en,64
Bangladesh,GPE,en,1113
Pakistan,GPE,en,27865
Bengalis,NORP,en,216
Pakistanbetrayedbengalis,PERSON,en,146
"BREAKING 
Inputs",PERSON,en,57
Pakistan Army's,ORG,en,116
111 Infantry Brigade,ORG,en,57
Coup Brigade,ORG,en,57
Islamaba,GPE,en,57
RT @SkyNews,ORG,en,44
Chinese,NORP,en,5259
Sky News,ORG,en,63
Uyghur,PERSON,en,188
hundreds,CARDINAL,en,177
al…,PERSON,en,46
RT @Abdul_Bugti:,ORG,en,33
Two,CARDINAL,en,828
Pakistani,NORP,en,5114
Kech,GPE,en,186
Balochistan,GPE,en,3958
today,DATE,en,3103
@adgpi,GPE,en,1825
1,CARDINAL,en,1149
Separatist,NORP,en,65
Yasin Malik,PERSON,en,69
Kashmir,LOC,en,25989
Taliban,ORG,en,1589
this month,DATE,en,86
TLP,ORG,en,624
TTP,ORG,en,434
the Pakistan Army,ORG,en,121
this decade,DATE,en,22
Pashtun,NORP,en,17
RT @evazhengll,ORG,en,46
1st,ORDINAL,en,203
45 tons,QUANTITY,en,46
Afghanistan,GPE,en,1912
Shanghai Pudong Airport,FAC,en,46
China,GPE,en,11739
$2.5 billion to $1 billion,MONEY,en,18
two,CARDINAL,en,1665
Taiwan,GPE,en,1182
Russia,GPE,en,464
https://t.co/LGDCi6sXAD,PERSON,en,1
Thursday,DATE,en,531
nine,CARDINAL,en,121
the same day,DATE,en,38
Ukraine,GPE,en,320
Taipei,GPE,en,55
https://t.co/AhRZPdGRUO,ORG,en,1
Three,CARDINAL,en,377
Wednesday night,TIME,en,19
Treva,GPE,en,17
Jammu,GPE,en,2571
Talibani,NORP,en,37
the Durand Line,GPE,en,55
Spin Boldak,ORG,en,33
Kandahar,GPE,en,49
20,CARDINAL,en,330
3,CARDINAL,en,1348
https://t.co/27poJCJb9w,ORG,en,1
Europe,LOC,en,195
US,GPE,en,2543
Beijing,GPE,en,1001
Sri Lanka,GPE,en,289
Schools,PERSON,en,47
Parliament,ORG,en,191
March 1,DATE,en,57
the Prevention of Electronic Crimes Act,ORG,en,48
"https://t.co/jT7XkCVc42
",PERSON,en,1
Bhutan,GPE,en,235
Wednesday,DATE,en,481
India,GPE,en,11479
COVID-19,ORG,en,776
Neighbours,FAC,en,51
India Zindabad🇮🇳,ORG,en,51
Karachiites,GPE,en,128
https://t.co/tpPTig1Izp,NORP,en,1
Hahaha,GPE,en,3
Naya Pakistan,GPE,en,8
Govt,ORG,en,669
Monday,DATE,en,835
Australia,GPE,en,548
"https://t.co/MoZuZP3C2N
",PERSON,en,1
Xi Jinping,PERSON,en,182
CCP’s Central Committee,ORG,en,27
U.S.,GPE,en,349
annual,DATE,en,146
American,NORP,en,140
"https://t.co/NRPfSUoqAm
",PERSON,en,1
Imran Khan,PERSON,en,1325
Pakistan Peoples Party,ORG,en,30
PPP,ORG,en,67
Bilawal Bhutto-Zardari,PERSON,en,17
"https://t.co/ntdrKI6ApW
",PERSON,en,1
China Airlines,ORG,en,9
CAL,ORG,en,9
this year’s Festival,DATE,en,13
75 Years,DATE,en,17
South Asia,LOC,en,164
Uyghur,ORG,en,430
160,CARDINAL,en,75
Afghan,NORP,en,545
Durand Line,PERSON,en,45
Muslims,NORP,en,929
Country,ORG,en,25
Biden Govt,PERSON,en,35
Trump,ORG,en,186
CCP,ORG,en,563
Punjab,NORP,en,287
Sindh,ORG,en,317
Indus,GPE,en,30
the last two years,DATE,en,48
more than 150,CARDINAL,en,39
Muslim,NORP,en,1149
UN,ORG,en,968
Michelle Bachelet,PERSON,en,70
the Human Rights Council,ORG,en,45
March 7,DATE,en,49
Xinjiang,GPE,en,1006
VOA,ORG,en,45
Valley,LOC,en,432
the first two months,DATE,en,44
Gulmarg,ORG,en,111
2021,DATE,en,635
34000,CARDINAL,en,43
RT @GajrajCorps_IA,ORG,en,120
Encourage Sports and Scout Talent*,WORK_OF_ART,en,75
anti-West,NORP,en,13
the United Kingdom,GPE,en,25
UK,GPE,en,504
Tibetan,GPE,en,72
Austria,GPE,en,73
Tibetans,NORP,en,144
Uyghurs,ORG,en,836
Hongkongers,GPE,en,20
The People in Nepal,WORK_OF_ART,en,9
Tibet,GPE,en,505
"https://t.co/l5l4bpadOt
Australian",PERSON,en,2
Peter Dutton,PERSON,en,34
Indo-Pacific,ORG,en,63
https://t.co/VonO4ZQkE7,ORG,en,1
EFSAS,ORG,en,24
UNHRC,ORG,en,57
"https://t.co/fErvLlGhGp
Islamic State",PERSON,en,1
Sibi,ORG,en,29
https://t.co/VUkyHCCzYh,CARDINAL,en,1
eight,CARDINAL,en,74
Taiwanese,NORP,en,196
Military Experts Mock Chinese ‘Low-Quality’ Hardware For Russia,WORK_OF_ART,en,2
past few years,DATE,en,62
"https://t.co/q6kxtBoYqU
China",ORG,en,1
Russian,NORP,en,190
Vladimir Putin,PERSON,en,22
abhorrent &amp,ORG,en,46
culture &amp,ORG,en,90
Rouf dance- Soul,PERSON,en,77
#KashmirBlossoming,MONEY,en,505
Kashmiri,ORG,en,2185
WindsOfChange,WORK_OF_ART,en,184
#,CARDINAL,en,37930
6th December,DATE,en,51
this day,DATE,en,276
1971,DATE,en,696
13 Years,DATE,en,30
26/11,CARDINAL,en,179
Mumbai,GPE,en,591
तो दूसरी,ORG,en,30
Tribute,ORG,en,27
NSG Commandos,ORG,en,30
MARCOS,PERSON,en,31
Indian ATS,GPE,en,30
Railway Protection Force,ORG,en,30
Mumbai Fire Brigade &,ORG,en,30
Victims,ORG,en,30
#2611Attack #,MONEY,en,28
RT @IndianExpress:,ORG,en,58
Army,ORG,en,2740
RT @AsadAToor:,ORG,en,43
12%,PERCENT,en,46
Punjab,PRODUCT,en,167
Two thirds,CARDINAL,en,43
130,CARDINAL,en,79
139,CARDINAL,en,61
the World Justice Project’s ‘Rule of Law Index,ORG,en,45
Ni,PERSON,en,45
RT @Newskashmirm,ORG,en,51
Broken,PERSON,en,56
6,CARDINAL,en,406
RT @PatrioticUsman:,ORG,en,52
un,ORG,en,81
Indian,NORP,en,3423
Sam Manekshaw,PERSON,en,36
