word,type,lang,count
香港,GPE,zh,217601
郭文贵,PERSON,zh,104974
中国,GPE,zh,37138
美国,GPE,zh,19444
RT,ORG,zh,17096
香港,NORP,zh,14520
武汉,GPE,zh,9853
2,CARDINAL,zh,6261
两,CARDINAL,zh,6087
港,GPE,zh,6019
3,CARDINAL,zh,5301
一,CARDINAL,zh,5267
香港人,NORP,zh,5194
6,CARDINAL,zh,5160
1,CARDINAL,zh,5082
7,CARDINAL,zh,5015
RT @,ORG,zh,4854
5,CARDINAL,zh,4596
王雁平,PERSON,zh,4394
4,CARDINAL,zh,4388
8,CARDINAL,zh,4093
9,CARDINAL,zh,3996
郭,PERSON,zh,3985
港府,GPE,zh,3892
中國,ORG,zh,3795
19,CARDINAL,zh,3668
王立强,PERSON,zh,3658
MilesGuo,ORG,en,3157
郭骗子,PERSON,zh,2902
郭文,PERSON,zh,2874
美,GPE,zh,2826
中国人,NORP,zh,2732
第一,ORDINAL,zh,2711
中国,NORP,zh,2668
Hong Kong,GPE,en,2610
三,CARDINAL,zh,2503
龚小夏,PERSON,zh,2433
2020年,DATE,zh,2345
#,CARDINAL,en,2338
#香港,MONEY,en,2306
蔡英文,PERSON,zh,2224
二,CARDINAL,zh,2207
台湾,GPE,zh,2198
今日,DATE,zh,2175
新年,DATE,zh,1908
今天,DATE,zh,1820
黎智英,PERSON,zh,1690
明天,DATE,zh,1667
李一平,PERSON,zh,1665
止暴制,PERSON,zh,1653
郭媒体,PERSON,zh,1637
一年,DATE,zh,1622
白宫,ORG,zh,1593
四,CARDINAL,zh,1569
China,GPE,en,1568
MilesGuo,PERSON,en,1531
郭宝胜,PERSON,zh,1499
64,CARDINAL,zh,1497
#止,PERSON,zh,1491
郭文貴,PERSON,zh,1428
半年,DATE,zh,1422
COVID,ORG,zh,1408
一天,DATE,zh,1391
中,GPE,zh,1368
中华,NORP,zh,1351
中共,ORG,zh,1326
0,CARDINAL,zh,1240
1911,DATE,zh,1234
RT,ORG,ru,1138
元旦,DATE,zh,1104
香港人權與民主法案,ORG,zh,1096
10,CARDINAL,zh,1084
1952,CARDINAL,zh,1050
RT @PDChinese,ORG,zh,1046
香港,GPE,ja,1021
14,CARDINAL,zh,1016
禁蒙面法,WORK_OF_ART,zh,993
昨日,DATE,zh,979
18,CARDINAL,zh,947
2019年,DATE,zh,943
今年,DATE,zh,929
白宫,FAC,zh,925
Miles,PERSON,zh,921
100万美元,MONEY,zh,878
#香港,PERSON,ja,875
#止,GPE,zh,870
15,CARDINAL,zh,864
反共,ORG,zh,862
英国,GPE,zh,861
第二,ORDINAL,zh,842
11,CARDINAL,zh,838
12,CARDINAL,zh,833
华,GPE,zh,828
美国人,NORP,zh,807
13,CARDINAL,zh,797
阿贵,PERSON,zh,789
嚴重,GPE,zh,770
Guo Wengui,PERSON,en,756
英,GPE,zh,728
大陆,GPE,zh,718
千,CARDINAL,zh,715
Stephan,ORG,zh,714
新疆,GPE,zh,701
反华,GPE,zh,700
特区政府,ORG,zh,680
美方,GPE,zh,673
郭骗,PERSON,zh,663
5824,DATE,zh,661
郭瘟龟,PERSON,zh,658
日本,GPE,zh,658
駐港部,GPE,zh,650
北京,GPE,zh,638
庄烈宏,PERSON,zh,632
湖北,GPE,zh,629
林鄭月,PERSON,zh,624
立法会,ORG,zh,620
王立強,PERSON,zh,615
一次次,CARDINAL,zh,606
纽约时报,ORG,zh,598
20,CARDINAL,zh,588
意大利,GPE,zh,584
顏色革命,EVENT,zh,583
撑警,PERSON,zh,547
2020,CARDINAL,zh,543
美国,NORP,zh,542
华尔街日报,ORG,zh,528
郭氏,PERSON,zh,525
郭瘟鬼,PERSON,zh,519
上海,GPE,zh,510
华人,NORP,zh,509
zhu,PERSON,zh,496
中央,ORG,zh,482
澳大利亚,GPE,zh,480
黄之锋,PERSON,zh,472
RT @usY,ORG,zh,472
