word,type,lang,count
Thailand,GPE,en,23
#,CARDINAL,en,16
Thai,NORP,en,10
Queen Suthida,PERSON,en,10
Grand Royal Barge Procession,ORG,en,8
the Coronation Ceremony of HM King Ram,ORG,en,7
Bangkok,GPE,en,7
𝗗𝗿𝗲𝘀𝘀 𝗖𝗼𝗱𝗲💛,PERSON,en,7
𝗧𝗵𝗼𝗻𝗯𝘂𝗿𝗶,PERSON,en,7
𝗲𝗮𝘀𝘁𝗲𝗿𝗻,LAW,en,7
"𝗣𝗥𝗢𝗖𝗘𝗦𝗦𝗜𝗢𝗡
📍",ORG,en,7
KE,GPE,en,7
⚪,GPE,en,6
RT @KhaosodEnglish:,ORG,en,5
🇹🇭,PERSON,en,4
Rasmijoti,PERSON,en,4
the Royal Barge Suphannahongse,ORG,en,4
Royal,PERSON,en,4
HRH,GPE,en,4
ขบวนพยุ,MONEY,en,3
Prince Dipangkorn,PERSON,en,3
Sri Suphannahong,PERSON,en,3
ไวรัสโคโรน่าสายพันธุ์ใหม่2019,PERSON,en,3
RT @CoconutsBangkok:,ORG,en,3
Bajrakitiyabha,PERSON,en,3
52,CARDINAL,en,3
https://t.co/wX5dgYGbdf,PERSON,en,3
HRH,ORG,en,3
Vajiralongkorn,PERSON,en,3
the Chao Phraya River,FAC,en,3
"😍😍
",PERSON,en,3
RT @socialgirl2005,PERSON,en,3
RT @QuickTake: Thailand,ORG,en,2
#รัชกาลที่10 #,MONEY,en,2
FutureForwardParty,PERSON,en,2
"#ฉันเกิดในรัชกาลที่9 
",MONEY,en,2
RT @Sanisa_s,ORG,en,2
IGOT7 #,MISC,fr,2
KE,ORG,en,2
RT @ArianaGrande:,ORG,en,2
GOT7 #,MISC,fr,2
Lopburi,GPE,en,2
RT @ArianaGrande,ORG,en,2
RT @busaya_mathelin,PERSON,en,2
LIVE,OG,ko,2
@SBS8news,OG,ko,2
BONGJOONHO,OG,ko,2
SBS,OG,ko,2
midnight tonight,TIME,en,2
RT @jakaphathotmai1: Grand Royal Barge Procession,ORG,en,2
2nd,ORDINAL,en,2
Brussels,GPE,en,2
HongKong,GPE,en,2
china,GPE,en,2
first,ORDINAL,en,2
wellcome,ORG,en,2
3,CARDINAL,en,2
SaveKorat,ORG,en,2
Constitutional Court,ORG,en,2
#ขบวนพยุหยาตราทางชลมารค,PERCENT,en,2
RT @AIS_Thailand: IMAGINE YOUR FUTURE WITH,ORG,en,1
2 MILLION,CARDINAL,en,1
#BAMBAM,MONEY,en,1
5,CARDINAL,en,1
AIS,ORG,en,1
RT @ManushyaFdn:,ORG,en,1
the Lop Buri Tourist,FAC,en,1
Pol Gen,PERSON,en,1
RT @YoshiOhbaya:,ORG,en,1
70 million,CARDINAL,en,1
RT @JacksonWang852,ORG,en,1
@TNAMCO,ORG,en,1
Buri Ram,GPE,en,1
GOT7,GPE,en,1
https://t.co/0OyUFf89B9,GPE,en,1
Chai Chidchob,PERSON,en,1
THAI,ORG,en,1
Korat Gunman’s Body Cremated,PERSON,en,1
osborn am from,MISC,pt,1
#Thailand,ORG,en,1
RT @incredibleindia,ORG,en,1
Hampi,LOC,en,1
RT @dionyxvs,ORG,en,1
Clyde,GPE,en,1
RT @SODA93382955:,ORG,en,1
RT @Dafabet,PERSON,en,1
a good day,DATE,en,1
FWP,ORG,en,1
EC,ORG,en,1
Wathanya,GPE,en,1
6,CARDINAL,en,1
Today,DATE,en,1
92 years old,DATE,en,1
#Thailand #ThaiPoltics #,ORG,en,1
https://t.co,PERSON,en,1
아가새,ORG,en,1
FreeGuy,ORG,en,1
GOT7_7EDITION,PERSON,en,1
Yugyeom #,MISC,fr,1
RT @nnnnuz,ORG,en,1
14,CARDINAL,en,1
7EDITION,MONEY,en,1
this morning,TIME,en,1
ThaiMonarchy,PRODUCT,en,1
WuhanCoronavirus,ORG,en,1
#IGOT7 #,MONEY,en,1
#GOT7 #갓세븐,MONEY,en,1
TUE,ORG,en,1
Jinyoung #,MISC,fr,1
https://t.co/orJ5jbPzMN,ORG,fr,1
#Teamkao,MONEY,en,1
Russia,GPE,en,1
"3
",QUANTITY,ja,1
4 แนะนำตัวละคร,QUANTITY,ja,1
0N,PRODUCT,ja,1
2ch,PRODUCT,ja,1
Trump,PERSON,en,1
the day after,DATE,en,1
RT @newsmax,ORG,en,1
ไวรัสโคโรน่าสายพันธุ์ใหม่2019,ORG,en,1
RT @rxknaka,ORG,en,1
ASEAN,ORG,en,1
Indonesia,GPE,en,1
Christmas,DATE,en,1
RT @NBTWORLDNews,ORG,en,1
thousands,CARDINAL,en,1
House,ORG,en,1
Politician Resigns Amid Army,PERSON,en,1
Santa,GPE,en,1
@jokowi,ORG,en,1
Shangri-La,ORG,en,1
RIP,ORG,en,1
#กราดยิงโคราช https://t.co/0sSzJgApyx,MONEY,en,1
RT @CNN,ORG,en,1
Boryspil International Airport,FAC,en,1
Ukrainian,NORP,en,1
RT @RechesReport,ORG,en,1
Chinese,NORP,en,1
Army,ORG,en,1
#กราดยิงโคราช #ปฎิรูปกองทัพ #,MONEY,en,1
Taiwanese,NORP,en,1
Go Home,ORG,en,1
Xinhua,ORG,en,1
https://t.co/zbrugXq7KT,GPE,en,1
Vacate Army Residences,ORG,en,1
Step Forward,ORG,en,1
RT @KhaosodEnglish: Opinion: ‘Coup-Prevention Panel,ORG,en,1
Fire Destroyed,PERSON,en,1
Phu Kradueng #Saveภูกระดึง #Thailand,ORG,en,1
Cambodian,NORP,en,1
🌻 𝑻𝒉𝒂𝒏𝒌𝒔,PERSON,en,1
𝒀𝒐𝒖 𝒎𝒂𝒌𝒆,PERSON,en,1
Server Resource Usage Monitor,ORG,en,1
#Genius #,MONEY,en,1
https://t.co/EfWgyTh2Q5,PERSON,en,1
thailand,GPE,en,1
@chernorris @sebastian_ryde,PERSON,en,1
RT @chayap16,ORG,en,1
Love Thailand 🇹🇭,WORK_OF_ART,en,1
Love king and,WORK_OF_ART,en,1
Queen,PERSON,en,1
#Bangkok #,MONEY,en,1
#VideoCall #,MONEY,en,1
FREE Uptime Monitor &,ORG,en,1
#SHOOKY #,MONEY,en,1
@USACAPOC's Command Post,ORG,en,1
CPX,ORG,en,1
20-04,CARDINAL,en,1
Soldiers,ORG,en,1
#ArmyStrong,MONEY,en,1
jbsamtc https://t,PERSON,en,1
RT @realDonaldTrump:,ORG,en,1
Sa Kaeo,GPE,en,1
Japan,GPE,en,1
Outbreak (Kyodo,ORG,en,1
RealMadrid,MISC,es,1
Taylor Swift,WORK_OF_ART,en,1
FC,PERSON,en,1
https://t.co/IRzpX09emd,ORG,en,1
COVID-19,ORG,en,1
23 Feb 2020,DATE,en,1
THAILAND,GPE,en,1
RT,ORG,es,1
Zidane,PER,es,1
HalaMadrid,MISC,es,1
Harvey Elliot,PERSON,en,1
IG,ORG,en,1
chiro_chiro3,ORG,en,1
IG https://t.co/3Vpa5bPgvi,ORG,en,1
RT @pingpedbuuic:,ORG,en,1
2,MONEY,en,1
February,DATE,en,1
@IEEESpectrum Magazine,ORG,en,1
India,GPE,en,1
Alexa,ORG,en,1
Earth,LOC,en,1
Campaigner’s Clobbering,ORG,en,1
#Wuhan Hospital,ORG,en,1
Thai Airways,ORG,en,1
today,DATE,en,1
Democrats,NORP,en,1
AP,ORG,en,1
The ToyubomM Daily!,WORK_OF_ART,en,1
@cumkom @engelmei,PERSON,en,1
RT @CGTNOfficial,ORG,en,1
Chongqing,GPE,en,1
ชูใจ,MONEY,en,1
https://t.co/wzh258CMY2,PRODUCT,en,1
RT,NORP,en,1
กลัวที่ไหน,MONEY,en,1
RT @GretaThunberg,PERSON,en,1
500’000,CARDINAL,en,1
Madrid,GPE,en,1
last night,TIME,en,1
Spoti,PERSON,en,1
🌲,PERSON,en,1
New Eastern Outlook,NORP,en,1
